Item #,File Stamp,Filing Party,Filing Description
705,2019-07-17,KENNEDY REPORTING SERVICE,"PREHEARING CONFERNECE/HEARING ON THE MERTIS- MONDAY, JUNE 24, 2019"
706,2019-07-17,KENNEDY REPORTING SERVICE,"APPLICANT OFFER OF PROOF NO.1- THURSDAY, JUNE 27, 2019"
718,2019-09-11,SOAH,SOAH ORDER NO.11 CONSOLIDATING MUNICIPAL APPEALS; ADMITTING EXHIBITS; AND ALJS' ADVISORY ON RATE CASE EXPENSE ISSUES
720,2019-09-16,SOAH,PROPOSAL FOR DECISION
721,2019-09-17,PUC RATE REGULATION,NUMBER RUNNING COMMUNICATIONS
723,2019-09-17,PUC OPDM,"PROPOSAL FOR DECISION WILL BE CONSIDERED FOR OPEN MEETING SCHEDULED FOR 9:30 ON NOVEMEBER 14, 2019."
724,2019-10-10,"H-E-B, LP",EXCEPTIONS TO THE PROPOSAL FOR DECISION
725,2019-10-10,TEXAS COMPETITIVE POWER ADVOCATES,Texas Competitive Power Advocates Exceptions to the PFD
726,2019-10-10,CITY OF HOUSTON AND HOUSTON COALITION OF CITIES,EXCEPTIONS TO PROPOSAL FOR DECISION
727,2019-10-10,OPUC,OPUC's Exceptions to the Proposal for Decision
728,2019-10-10,"CENTERPOINT ENERGY  HOUSTON ELECTRIC, LLC","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC'S EXCEPTIONS TO PROPOSAL FOR DECISION"
729,2019-10-10,TIEC,TEXAS INDUSTRIAL ENERGY CONSUMERS’ REDACTED EXCEPTIONS TO PROPOSAL FOR DECISION
732,2019-10-10,GULF COAST COALITION OF CITIES,EXCEPTIONS TO THE PROPOSAL FOR DECISION
733,2019-10-10,PUC LEGAL,COMMISSION STAFF’S EXCEPTIONS TO THE PROPOSAL FOR DECISION
734,2019-10-10,TEXAS COAST UTILITIES COALITION,TCUC Exceptions to the Proposal for Decision
735,2019-10-10,"CENTERPOINT ENERGY  HOUSTON ELECTRIC, LLC",CORRECTIONS TO COMPANY'S EXCEPTIONS
738,2019-10-24,CENTERPOINT ENERGY HOUSTON ELECTRIC,CenterPoint Energy Houston Electric LLC's Reply to Exceptions to Proposal For Decision
740,2019-10-24,GULF COAST COALITION OF CITIES,Gulf Coast Coalition of Cities' Reply to Exceptions to the Proposal for Decision
741,2019-10-24,CITY OF HOUSTON AND HOUSTON COALITION OF CITIES,REPLIES TO EXCEPTIONS TO PROPOSAL FOR DECISION
742,2019-10-24,OPUC,OPUC's Reply to Exceptions to the Proposal for Decision
743,2019-10-24,"H-E-B, LP","H-E-B, LP's Replies to Exceptions to the Proposal Decision"
744,2019-10-24,ALLIANCE FOR RETAIL MARKETS,REPLY TO EXCEPTIONS TO THE PROPOSAL FOR DECISION
745,2019-10-24,TIEC,REDACTED TIEC's Reply to Exceptions to PFD
748,2019-10-24,TEXAS COAST UTILITIES COALITION,TCUC's Reply to Exceptions to the Proposal for Decision
749,2019-10-24,PUC LEGAL,STAFF'S REPLIES TO EXCEPTIONS TO THE PROPOSAL FOR DECISION
754,2019-10-28,"CENTERPOINT ENERGY  HOUSTON ELECTRIC, LLC",REPLY FOR EXCEPTIONS 
758,2019-11-15,PUC OPDM,BRIEFING ORDER
759,2019-11-15,PUC RATE REGULATION,MEMO
762,2019-11-22,PUC RATE REGULATION,MEMORANDUM
763,2019-11-25,AEP TEXAS INC.,AMICUS CURIAE BRIEF
764,2019-11-25,"H-E-B, LP",RESPONSE TO REQUEST FOR BRIEFING
765,2019-11-25,"CENTERPOINT ENERGY  HOUSTON ELECTRIC, LLC","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC’S"
766,2019-11-25,PUC LEGAL,STAFF’S RESPONSE TO COMMISSION BRIEFING ORDER
767,2019-11-25,TIEC,"BRIEF IN RESPONSE RO THE COMMISSION'S NOVEMBER 15, 2019 BRIEFING ORDER"
769,2019-11-26,PUC OPDM,MEMORANDUM
772,2019-11-15,PUC OPDM,MEMO
773,2019-12-05,PUC RATE REGULATION,COMMISSION NUMBER RUN- MEMO
777,2019-12-13,CENTER POINT ENERGY HOUSTON ELECTRIC LLC,"APPLICATION OF CENTER POINT ENERGY HOUSTON ELECTRIC , LLC FOR AUTHORITY TO CHANGE RATES"
782,2019-12-20,CENTERPOINT ENERGY HOUSTON ELECTRIC,LETTER TO COMISSIONERS
785,2020-01-23,"CENTERPOINT ENERGY  HOUSTON ELECTRIC, LLC",STIPULATION AND SETTLEMENT AGREEMENT
786,2020-01-24,"CENTERPOINT ENERGY  HOUSTON ELECTRIC, LLC",TESTIMONY IN SUPPORT OF AGREEMENT OF KRISTIE L. COLVIN
788,2020-01-28,PUC LEGAL,TESTIMONY OF DARRYL TIETJEN IN SUPPORT OF STIPULATION
792,2020-03-09,PUC OPDM,FINAL ORDER
795,2020-03-27,"CENTERPOINT ENERGY HOUSTON ELECTRIC , LLC","TARIFF FILING OF CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC IN COMPLIANCE WITH THE FINAL ORDER IN DOCKET NO. 49421"
796,2021-09-29,"CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","COMPLIANCE FILING OF CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
797,2021-11-10,CENTERPOINT ENERGY HOUSTON ELECTRIC,D49421 - CEHE Compliance Filing - Rider UEDIT - Unprotected Excess Deferred Income Taxed Credit
